Endpoint            Methods  Rule
------------------  -------  -----------------------
check_access_token  GET      /api/check
client              GET      /client
favicon             GET      /favicon.ico
friend_delete       POST     /api/user/friend/delete
get_account_info    GET      /api/user/account_info
get_private_room    GET      /api/room/private
get_room_messages   GET      /room/message/get
index               GET      /
room_add_user       POST     /api/room/add_user
room_create         POST     /api/room/create
room_delete         POST     /api/room/delete
room_get            GET      /api/room/get
room_get_by_name    GET      /api/room/get_by_name
room_get_users      GET      /api/room/users
room_has            GET      /api/room/has
room_quit           POST     /api/room/quit
set_avatar          POST     /api/user/set_avatar
static              GET      /static/<path:filename>
user_add_friend     POST     /api/user/friend/add
user_get            GET      /api/user/get
user_get_by_name    GET      /api/user/get_by_name
user_get_friend     GET      /api/user/friend/get
user_login          POST     /api/user/login
user_register       POST     /api/user/register
user_search         GET      /api/user/search
